response_key,response_category,institution
RSP-00001,SPR Release,Emergency Management Agency
RSP-00002,Cyber Defense for Energy Grid,Ministry of Energy
RSP-00003,Port Security Enhancement,Emergency Management Agency
RSP-00004,LNG Terminal Fast-Track,Ministry of Finance
RSP-00005,Alternative Supplier Agreement,Emergency Management Agency
RSP-00006,Coal-to-Gas Switching Ban,Maritime Authority
RSP-00007,Strategic Fuel Stockpile Mandate,Maritime Authority
RSP-00008,Alternative Supplier Agreement,Ministry of Defense
RSP-00009,Refinery Capacity Expansion,Central Bank
RSP-00010,Maritime Insurance Fund,Ministry of Energy
RSP-00011,Strategic Fuel Stockpile Mandate,Emergency Management Agency
RSP-00012,Coal-to-Gas Switching Ban,Central Bank
RSP-00013,Maritime Insurance Fund,Ministry of Defense
RSP-00014,SPR Release,Ministry of Trade
RSP-00015,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00016,Port Security Enhancement,Ministry of Defense
RSP-00017,Renewable Energy Fast-Track,Maritime Authority
RSP-00018,Cyber Defense for Energy Grid,Maritime Authority
RSP-00019,Refinery Capacity Expansion,Emergency Management Agency
RSP-00020,Maritime Insurance Fund,Ministry of Trade
RSP-00021,Port Security Enhancement,Emergency Management Agency
RSP-00022,Emergency Energy Import Deal,Central Bank
RSP-00023,Refinery Capacity Expansion,Maritime Authority
RSP-00024,Port Security Enhancement,National Oil Company
RSP-00025,Alternative Supplier Agreement,Ministry of Energy
RSP-00026,SPR Release,Maritime Authority
RSP-00027,Refinery Capacity Expansion,Maritime Authority
RSP-00028,Coal-to-Gas Switching Ban,National Oil Company
RSP-00029,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00030,Refinery Capacity Expansion,Emergency Management Agency
RSP-00031,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00032,Maritime Insurance Fund,Ministry of Energy
RSP-00033,Strategic Fuel Stockpile Mandate,National Oil Company
RSP-00034,Bilateral Defense Pact,Ministry of Defense
RSP-00035,Fuel Subsidy Increase,Ministry of Finance
RSP-00036,Cyber Defense for Energy Grid,Ministry of Energy
RSP-00037,Fuel Subsidy Increase,Ministry of Trade
RSP-00038,Cyber Defense for Energy Grid,Ministry of Trade
RSP-00039,Emergency Energy Import Deal,Emergency Management Agency
RSP-00040,Naval Escort Deployment,Emergency Management Agency
RSP-00041,Coal-to-Gas Switching Ban,Maritime Authority
RSP-00042,Renewable Energy Fast-Track,Ministry of Finance
RSP-00043,Renewable Energy Fast-Track,Ministry of Defense
RSP-00044,Port Security Enhancement,Emergency Management Agency
RSP-00045,Refinery Capacity Expansion,Ministry of Trade
RSP-00046,Freight Corridor Agreement,Central Bank
RSP-00047,Emergency Energy Import Deal,Ministry of Defense
RSP-00048,Port Security Enhancement,Ministry of Trade
RSP-00049,Freight Corridor Agreement,Ministry of Trade
RSP-00050,Port Security Enhancement,Central Bank
RSP-00051,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00052,Port Security Enhancement,Ministry of Defense
RSP-00053,Fuel Subsidy Increase,Emergency Management Agency
RSP-00054,Emergency Energy Import Deal,Ministry of Energy
RSP-00055,Cyber Defense for Energy Grid,Central Bank
RSP-00056,Port Security Enhancement,Ministry of Defense
RSP-00057,Fuel Subsidy Increase,Central Bank
RSP-00058,LNG Terminal Fast-Track,Ministry of Energy
RSP-00059,Bilateral Defense Pact,Ministry of Trade
RSP-00060,Coal-to-Gas Switching Ban,Central Bank
RSP-00061,Freight Corridor Agreement,Emergency Management Agency
RSP-00062,Port Security Enhancement,Ministry of Trade
RSP-00063,Fuel Subsidy Increase,Central Bank
RSP-00064,Fuel Subsidy Increase,Central Bank
RSP-00065,Alternative Supplier Agreement,Emergency Management Agency
RSP-00066,SPR Release,National Oil Company
RSP-00067,Fuel Subsidy Increase,Emergency Management Agency
RSP-00068,Cyber Defense for Energy Grid,Ministry of Finance
RSP-00069,Emergency Energy Import Deal,Ministry of Energy
RSP-00070,Freight Corridor Agreement,National Oil Company
RSP-00071,Coal-to-Gas Switching Ban,Ministry of Energy
RSP-00072,Refinery Capacity Expansion,Ministry of Trade
RSP-00073,LNG Terminal Fast-Track,Ministry of Trade
RSP-00074,Maritime Insurance Fund,Ministry of Trade
RSP-00075,LNG Terminal Fast-Track,Ministry of Finance
RSP-00076,LNG Terminal Fast-Track,National Oil Company
RSP-00077,Maritime Insurance Fund,National Oil Company
RSP-00078,Fuel Subsidy Increase,Emergency Management Agency
RSP-00079,Maritime Insurance Fund,Maritime Authority
RSP-00080,Bilateral Defense Pact,Ministry of Trade
RSP-00081,Strategic Fuel Stockpile Mandate,Maritime Authority
RSP-00082,Coal-to-Gas Switching Ban,National Oil Company
RSP-00083,Renewable Energy Fast-Track,Maritime Authority
RSP-00084,Coal-to-Gas Switching Ban,National Oil Company
RSP-00085,Freight Corridor Agreement,Central Bank
RSP-00086,Port Security Enhancement,Maritime Authority
RSP-00087,Maritime Insurance Fund,Emergency Management Agency
RSP-00088,Emergency Energy Import Deal,Central Bank
RSP-00089,Coal-to-Gas Switching Ban,Maritime Authority
RSP-00090,Maritime Insurance Fund,Emergency Management Agency
RSP-00091,Emergency Energy Import Deal,Central Bank
RSP-00092,Bilateral Defense Pact,Central Bank
RSP-00093,Coal-to-Gas Switching Ban,Central Bank
RSP-00094,Maritime Insurance Fund,Maritime Authority
RSP-00095,Alternative Supplier Agreement,Central Bank
RSP-00096,Fuel Subsidy Increase,Ministry of Finance
RSP-00097,Strategic Fuel Stockpile Mandate,Ministry of Energy
RSP-00098,Emergency Energy Import Deal,Ministry of Trade
RSP-00099,Maritime Insurance Fund,National Oil Company
RSP-00100,Bilateral Defense Pact,Maritime Authority
RSP-00101,Refinery Capacity Expansion,Ministry of Energy
RSP-00102,Alternative Supplier Agreement,Ministry of Trade
RSP-00103,Emergency Energy Import Deal,Ministry of Defense
RSP-00104,Freight Corridor Agreement,Emergency Management Agency
RSP-00105,Coal-to-Gas Switching Ban,Ministry of Trade
RSP-00106,Naval Escort Deployment,Ministry of Trade
RSP-00107,Maritime Insurance Fund,Central Bank
RSP-00108,Port Security Enhancement,Ministry of Energy
RSP-00109,LNG Terminal Fast-Track,Ministry of Defense
RSP-00110,Cyber Defense for Energy Grid,Ministry of Energy
RSP-00111,Bilateral Defense Pact,Ministry of Defense
RSP-00112,Refinery Capacity Expansion,National Oil Company
RSP-00113,Maritime Insurance Fund,Central Bank
RSP-00114,Emergency Energy Import Deal,Emergency Management Agency
RSP-00115,Alternative Supplier Agreement,National Oil Company
RSP-00116,Fuel Subsidy Increase,Ministry of Energy
RSP-00117,Coal-to-Gas Switching Ban,National Oil Company
RSP-00118,Naval Escort Deployment,Maritime Authority
RSP-00119,Fuel Subsidy Increase,Ministry of Finance
RSP-00120,Freight Corridor Agreement,Ministry of Defense
RSP-00121,Port Security Enhancement,Ministry of Defense
RSP-00122,Alternative Supplier Agreement,Ministry of Trade
RSP-00123,Freight Corridor Agreement,Ministry of Trade
RSP-00124,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00125,Port Security Enhancement,Emergency Management Agency
RSP-00126,Freight Corridor Agreement,Ministry of Trade
RSP-00127,Refinery Capacity Expansion,Ministry of Trade
RSP-00128,Bilateral Defense Pact,Central Bank
RSP-00129,Bilateral Defense Pact,Ministry of Energy
RSP-00130,Strategic Fuel Stockpile Mandate,Central Bank
RSP-00131,Naval Escort Deployment,Emergency Management Agency
RSP-00132,Alternative Supplier Agreement,Emergency Management Agency
RSP-00133,Strategic Fuel Stockpile Mandate,Ministry of Energy
RSP-00134,Refinery Capacity Expansion,National Oil Company
RSP-00135,Port Security Enhancement,Ministry of Energy
RSP-00136,Emergency Energy Import Deal,Maritime Authority
RSP-00137,Cyber Defense for Energy Grid,National Oil Company
RSP-00138,Maritime Insurance Fund,Ministry of Finance
RSP-00139,Port Security Enhancement,Central Bank
RSP-00140,Alternative Supplier Agreement,National Oil Company
RSP-00141,Emergency Energy Import Deal,Ministry of Trade
RSP-00142,Emergency Energy Import Deal,Maritime Authority
RSP-00143,Alternative Supplier Agreement,Central Bank
RSP-00144,Refinery Capacity Expansion,Emergency Management Agency
RSP-00145,Bilateral Defense Pact,Ministry of Trade
RSP-00146,Bilateral Defense Pact,Ministry of Finance
RSP-00147,Refinery Capacity Expansion,Ministry of Energy
RSP-00148,Alternative Supplier Agreement,Ministry of Defense
RSP-00149,Naval Escort Deployment,Ministry of Finance
RSP-00150,Bilateral Defense Pact,Ministry of Energy
RSP-00151,Alternative Supplier Agreement,Ministry of Trade
RSP-00152,Coal-to-Gas Switching Ban,National Oil Company
RSP-00153,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00154,Strategic Fuel Stockpile Mandate,Ministry of Trade
RSP-00155,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00156,Naval Escort Deployment,Emergency Management Agency
RSP-00157,Coal-to-Gas Switching Ban,National Oil Company
RSP-00158,Coal-to-Gas Switching Ban,Maritime Authority
RSP-00159,Fuel Subsidy Increase,Emergency Management Agency
RSP-00160,Renewable Energy Fast-Track,Ministry of Trade
RSP-00161,Coal-to-Gas Switching Ban,Ministry of Finance
RSP-00162,Port Security Enhancement,Central Bank
RSP-00163,Fuel Subsidy Increase,Ministry of Defense
RSP-00164,Cyber Defense for Energy Grid,National Oil Company
RSP-00165,Fuel Subsidy Increase,Ministry of Energy
RSP-00166,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00167,Bilateral Defense Pact,Central Bank
RSP-00168,Cyber Defense for Energy Grid,Ministry of Finance
RSP-00169,SPR Release,Ministry of Energy
RSP-00170,SPR Release,Maritime Authority
RSP-00171,Emergency Energy Import Deal,Emergency Management Agency
RSP-00172,Bilateral Defense Pact,Emergency Management Agency
RSP-00173,Emergency Energy Import Deal,National Oil Company
RSP-00174,Freight Corridor Agreement,Ministry of Energy
RSP-00175,Emergency Energy Import Deal,Ministry of Energy
RSP-00176,Strategic Fuel Stockpile Mandate,Central Bank
RSP-00177,Emergency Energy Import Deal,Ministry of Defense
RSP-00178,Port Security Enhancement,Central Bank
RSP-00179,Bilateral Defense Pact,National Oil Company
RSP-00180,Emergency Energy Import Deal,Maritime Authority
RSP-00181,Freight Corridor Agreement,Ministry of Finance
RSP-00182,Coal-to-Gas Switching Ban,National Oil Company
RSP-00183,Freight Corridor Agreement,Ministry of Finance
RSP-00184,Freight Corridor Agreement,Emergency Management Agency
RSP-00185,Emergency Energy Import Deal,Maritime Authority
RSP-00186,Port Security Enhancement,Maritime Authority
RSP-00187,Emergency Energy Import Deal,Emergency Management Agency
RSP-00188,Naval Escort Deployment,Ministry of Energy
RSP-00189,Naval Escort Deployment,Ministry of Energy
RSP-00190,Alternative Supplier Agreement,National Oil Company
RSP-00191,Alternative Supplier Agreement,Maritime Authority
RSP-00192,Bilateral Defense Pact,Ministry of Energy
RSP-00193,Emergency Energy Import Deal,Central Bank
RSP-00194,Maritime Insurance Fund,Maritime Authority
RSP-00195,Port Security Enhancement,Ministry of Energy
RSP-00196,Freight Corridor Agreement,National Oil Company
RSP-00197,LNG Terminal Fast-Track,Ministry of Finance
RSP-00198,Bilateral Defense Pact,Maritime Authority
RSP-00199,Emergency Energy Import Deal,Ministry of Energy
RSP-00200,Alternative Supplier Agreement,Ministry of Defense
RSP-00201,Bilateral Defense Pact,Central Bank
RSP-00202,Naval Escort Deployment,National Oil Company
RSP-00203,Maritime Insurance Fund,Central Bank
RSP-00204,Cyber Defense for Energy Grid,Maritime Authority
RSP-00205,Fuel Subsidy Increase,Central Bank
RSP-00206,Emergency Energy Import Deal,National Oil Company
RSP-00207,SPR Release,Maritime Authority
RSP-00208,Strategic Fuel Stockpile Mandate,Central Bank
RSP-00209,Coal-to-Gas Switching Ban,Ministry of Energy
RSP-00210,Port Security Enhancement,Emergency Management Agency
RSP-00211,Bilateral Defense Pact,Central Bank
RSP-00212,Emergency Energy Import Deal,Ministry of Defense
RSP-00213,Maritime Insurance Fund,Maritime Authority
RSP-00214,Fuel Subsidy Increase,Maritime Authority
RSP-00215,SPR Release,Ministry of Finance
RSP-00216,Refinery Capacity Expansion,Ministry of Finance
RSP-00217,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00218,Port Security Enhancement,Central Bank
RSP-00219,Bilateral Defense Pact,Ministry of Finance
RSP-00220,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00221,LNG Terminal Fast-Track,Ministry of Energy
RSP-00222,SPR Release,Maritime Authority
RSP-00223,Naval Escort Deployment,Ministry of Defense
RSP-00224,Alternative Supplier Agreement,Emergency Management Agency
RSP-00225,SPR Release,Ministry of Energy
RSP-00226,LNG Terminal Fast-Track,Ministry of Energy
RSP-00227,SPR Release,Central Bank
RSP-00228,Cyber Defense for Energy Grid,Central Bank
RSP-00229,Strategic Fuel Stockpile Mandate,Central Bank
RSP-00230,Bilateral Defense Pact,Ministry of Finance
RSP-00231,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00232,Naval Escort Deployment,Ministry of Defense
RSP-00233,Naval Escort Deployment,National Oil Company
RSP-00234,Freight Corridor Agreement,Maritime Authority
RSP-00235,Emergency Energy Import Deal,Central Bank
RSP-00236,Naval Escort Deployment,Ministry of Trade
RSP-00237,Refinery Capacity Expansion,National Oil Company
RSP-00238,Renewable Energy Fast-Track,Maritime Authority
RSP-00239,Naval Escort Deployment,Ministry of Finance
RSP-00240,Strategic Fuel Stockpile Mandate,National Oil Company
RSP-00241,Cyber Defense for Energy Grid,National Oil Company
RSP-00242,Coal-to-Gas Switching Ban,Maritime Authority
RSP-00243,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00244,Naval Escort Deployment,National Oil Company
RSP-00245,Renewable Energy Fast-Track,Central Bank
RSP-00246,Bilateral Defense Pact,Emergency Management Agency
RSP-00247,Fuel Subsidy Increase,National Oil Company
RSP-00248,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00249,Freight Corridor Agreement,Ministry of Finance
RSP-00250,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00251,Alternative Supplier Agreement,Ministry of Trade
RSP-00252,Naval Escort Deployment,National Oil Company
RSP-00253,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00254,Naval Escort Deployment,Emergency Management Agency
RSP-00255,Emergency Energy Import Deal,National Oil Company
RSP-00256,Alternative Supplier Agreement,Emergency Management Agency
RSP-00257,Strategic Fuel Stockpile Mandate,Ministry of Energy
RSP-00258,Fuel Subsidy Increase,Ministry of Energy
RSP-00259,Emergency Energy Import Deal,National Oil Company
RSP-00260,Refinery Capacity Expansion,Central Bank
RSP-00261,LNG Terminal Fast-Track,Maritime Authority
RSP-00262,Freight Corridor Agreement,Emergency Management Agency
RSP-00263,Strategic Fuel Stockpile Mandate,Ministry of Energy
RSP-00264,Coal-to-Gas Switching Ban,Emergency Management Agency
RSP-00265,Freight Corridor Agreement,Maritime Authority
RSP-00266,Port Security Enhancement,Ministry of Defense
RSP-00267,Cyber Defense for Energy Grid,Central Bank
RSP-00268,Coal-to-Gas Switching Ban,Ministry of Trade
RSP-00269,Fuel Subsidy Increase,Ministry of Finance
RSP-00270,LNG Terminal Fast-Track,Ministry of Energy
RSP-00271,Port Security Enhancement,Central Bank
RSP-00272,Port Security Enhancement,Ministry of Finance
RSP-00273,Fuel Subsidy Increase,Ministry of Defense
RSP-00274,Fuel Subsidy Increase,Emergency Management Agency
RSP-00275,Port Security Enhancement,Emergency Management Agency
RSP-00276,Fuel Subsidy Increase,National Oil Company
RSP-00277,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00278,Strategic Fuel Stockpile Mandate,National Oil Company
RSP-00279,Naval Escort Deployment,Central Bank
RSP-00280,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00281,Emergency Energy Import Deal,Ministry of Finance
RSP-00282,Renewable Energy Fast-Track,Maritime Authority
RSP-00283,Coal-to-Gas Switching Ban,National Oil Company
RSP-00284,Port Security Enhancement,Central Bank
RSP-00285,Bilateral Defense Pact,Central Bank
RSP-00286,Port Security Enhancement,Maritime Authority
RSP-00287,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00288,Fuel Subsidy Increase,Ministry of Energy
RSP-00289,Alternative Supplier Agreement,National Oil Company
RSP-00290,Emergency Energy Import Deal,National Oil Company
RSP-00291,Alternative Supplier Agreement,Ministry of Trade
RSP-00292,Fuel Subsidy Increase,Ministry of Energy
RSP-00293,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00294,LNG Terminal Fast-Track,Ministry of Defense
RSP-00295,Alternative Supplier Agreement,Ministry of Trade
