event_key,incident_type,severity_level,route_key
EVT-00001,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00002,Maritime Corridor Suspension,Moderate,Suez Canal
EVT-00003,Houthi Anti-Ship Missile,Minor,Strait of Hormuz
EVT-00004,IRGC Fast-Boat Harassment,Moderate,Persian Gulf – Bay of Bengal
EVT-00005,Coalition Naval Escort Delay,Critical,Aden Gulf – Indian Ocean
EVT-00006,Drone Strike Near Vessel,Severe,Suez Canal
EVT-00007,Oil Spill from Damaged Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00008,Insurance No-Go Zone Declaration,Moderate,Persian Gulf – East China Sea
EVT-00009,Drone Strike Near Vessel,Moderate,Suez Canal
EVT-00010,Piracy / Armed Boarding,Severe,Persian Gulf – Bay of Bengal
EVT-00011,Port Closure (Military),Critical,Suez Canal
EVT-00012,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-00013,Unexploded Ordnance Discovery,Severe,Strait of Hormuz
EVT-00014,Port Closure (Military),Severe,Strait of Malacca
EVT-00015,Port Closure (Military),Critical,Bab el-Mandeb / Red Sea
EVT-00016,Houthi Anti-Ship Missile,Minor,Bab el-Mandeb / Red Sea
EVT-00017,Coalition Naval Escort Delay,Critical,Persian Gulf – Bay of Bengal
EVT-00018,Insurance No-Go Zone Declaration,Minor,Persian Gulf – Sea of Japan
EVT-00019,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00020,Oil Spill from Damaged Tanker,Minor,Persian Gulf – Sea of Japan
EVT-00021,Oil Spill from Damaged Tanker,Moderate,Strait of Hormuz
EVT-00022,Military Blockade Enforcement,Moderate,Persian Gulf – Bay of Bengal
EVT-00023,Maritime Corridor Suspension,Minor,Strait of Hormuz
EVT-00024,Coalition Naval Escort Delay,Moderate,Strait of Hormuz
EVT-00025,Coalition Naval Escort Delay,Moderate,Bab el-Mandeb / Red Sea
EVT-00026,Maritime Corridor Suspension,Minor,Bab el-Mandeb / Red Sea
EVT-00027,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00028,Military Blockade Enforcement,Moderate,Persian Gulf – East China Sea
