Event_ID,Date,Route,Incident_Type,Severity,Vessel_Type_Affected,Flag_State,Estimated_Delay_Hours,Cargo_Volume_Impacted_KT,Lat,Lon,Reroute_Required,Conflict_Phase
EVT-00001,2024-10-05,Strait of Hormuz,Port Closure (Military),Moderate,Suezmax,Singapore,11.9,44.0,26.6907,56.2587,False,Initial Escalation
EVT-00002,2024-10-05,Suez Canal,Maritime Corridor Suspension,Moderate,Bulk Carrier,China,19.4,56.0,31.2592,31.9837,False,Initial Escalation
EVT-00003,2024-10-06,Strait of Hormuz,Houthi Anti-Ship Missile,Minor,Suezmax,Greece,0.4,154.0,26.7593,55.3378,True,Initial Escalation
EVT-00004,2024-10-06,Persian Gulf – Bay of Bengal,IRGC Fast-Boat Harassment,Moderate,LNG Carrier,Bahamas,24.7,99.0,18.719,103.0955,False,Initial Escalation
EVT-00005,2024-10-07,Aden Gulf – Indian Ocean,Coalition Naval Escort Delay,Critical,Product Tanker,Japan,269.6,515.0,9.8326,60.9242,True,Initial Escalation
EVT-00006,2024-10-08,Suez Canal,Drone Strike Near Vessel,Severe,LPG Carrier,Hong Kong,19.1,262.0,30.4453,32.8425,True,Initial Escalation
EVT-00007,2024-10-09,Bab el-Mandeb / Red Sea,Oil Spill from Damaged Tanker,Severe,LPG Carrier,Panama,0.3,434.0,12.4199,42.6067,True,Initial Escalation
EVT-00008,2024-10-09,Persian Gulf – East China Sea,Insurance No-Go Zone Declaration,Moderate,Product Tanker,Liberia,3.8,415.0,30.4795,39.6054,False,Initial Escalation
EVT-00009,2024-10-10,Suez Canal,Drone Strike Near Vessel,Moderate,Product Tanker,Japan,7.3,47.0,30.8843,31.4345,False,Initial Escalation
EVT-00010,2024-10-11,Persian Gulf – Bay of Bengal,Piracy / Armed Boarding,Severe,LPG Carrier,Bahamas,127.2,1319.0,19.6635,46.0073,True,Initial Escalation
EVT-00011,2024-10-12,Suez Canal,Port Closure (Military),Critical,VLCC,China,502.0,465.0,30.472,32.4016,True,Initial Escalation
EVT-00012,2024-10-12,Strait of Hormuz,Missile Attack on Tanker,Minor,Suezmax,China,5.8,6.0,25.5677,56.079,False,Initial Escalation
EVT-00013,2024-10-12,Strait of Hormuz,Unexploded Ordnance Discovery,Severe,Suezmax,Greece,125.6,1674.0,25.6634,55.6646,True,Initial Escalation
EVT-00014,2024-10-12,Strait of Malacca,Port Closure (Military),Severe,LPG Carrier,Japan,34.7,2289.0,2.0332,101.9196,True,Initial Escalation
EVT-00015,2024-10-12,Bab el-Mandeb / Red Sea,Port Closure (Military),Critical,Bulk Carrier,Bahamas,137.8,475.0,12.4093,42.403,True,Initial Escalation
EVT-00016,2024-10-13,Bab el-Mandeb / Red Sea,Houthi Anti-Ship Missile,Minor,VLCC,Panama,1.4,109.0,13.7802,42.4055,True,Initial Escalation
EVT-00017,2024-10-14,Persian Gulf – Bay of Bengal,Coalition Naval Escort Delay,Critical,Bulk Carrier,Malta,174.6,800.0,4.8896,39.3763,True,Initial Escalation
EVT-00018,2024-10-14,Persian Gulf – Sea of Japan,Insurance No-Go Zone Declaration,Minor,Bulk Carrier,Japan,2.4,108.0,7.9087,105.8541,False,Initial Escalation
EVT-00019,2024-10-16,Bab el-Mandeb / Red Sea,Cyber-Attack on Port Systems,Moderate,VLCC,Hong Kong,56.1,934.0,12.5138,44.1725,False,Initial Escalation
EVT-00020,2024-10-18,Persian Gulf – Sea of Japan,Oil Spill from Damaged Tanker,Minor,LPG Carrier,Greece,5.2,92.0,19.0035,101.2943,False,Initial Escalation
EVT-00021,2024-10-18,Strait of Hormuz,Oil Spill from Damaged Tanker,Moderate,Bulk Carrier,Liberia,45.8,66.0,26.4226,56.1805,False,Initial Escalation
