Response_ID,Date,Country,Response_Category,Implementing_Institution,Estimated_Cost_MUSD,Urgency_Level,Implementation_Status,Effectiveness_Score,ME_Dependency_Reduction_Pct,Conflict_Phase
RSP-00001,2024-10-01,China,SPR Release,Emergency Management Agency,4.4,Medium,Delayed,3.9,0.0,Initial Escalation
RSP-00002,2024-10-01,China,Cyber Defense for Energy Grid,Ministry of Energy,5.7,Low,Completed,6.1,0.0,Initial Escalation
RSP-00003,2024-10-01,China,Port Security Enhancement,Emergency Management Agency,6.1,Medium,Announced,7.5,0.0,Initial Escalation
RSP-00004,2024-10-01,India,LNG Terminal Fast-Track,Ministry of Finance,0.7,Low,Completed,5.1,0.0,Initial Escalation
RSP-00005,2024-10-01,Japan,Alternative Supplier Agreement,Emergency Management Agency,2.2,High,In Progress,7.6,0.0,Initial Escalation
RSP-00006,2024-10-01,Japan,Coal-to-Gas Switching Ban,Maritime Authority,1.5,Low,Completed,7.6,0.0,Initial Escalation
RSP-00007,2024-10-01,Japan,Strategic Fuel Stockpile Mandate,Maritime Authority,1.3,Low,Delayed,8.2,0.0,Initial Escalation
RSP-00008,2024-10-01,South Korea,Alternative Supplier Agreement,Ministry of Defense,0.6,Medium,Announced,7.4,0.0,Initial Escalation
RSP-00009,2024-10-01,South Korea,Refinery Capacity Expansion,Central Bank,0.9,Medium,Announced,4.7,0.0,Initial Escalation
RSP-00010,2024-10-01,Australia,Maritime Insurance Fund,Ministry of Energy,0.1,Medium,In Progress,7.5,0.0,Initial Escalation
RSP-00011,2024-10-01,Indonesia,Strategic Fuel Stockpile Mandate,Emergency Management Agency,0.2,Low,Delayed,6.6,0.0,Initial Escalation
RSP-00012,2024-10-01,Thailand,Coal-to-Gas Switching Ban,Central Bank,0.2,Medium,Announced,4.5,0.0,Initial Escalation
RSP-00013,2024-10-01,Thailand,Maritime Insurance Fund,Ministry of Defense,0.2,High,Announced,6.0,0.0,Initial Escalation
RSP-00014,2024-10-01,Vietnam,SPR Release,Ministry of Trade,0.1,High,In Progress,3.2,0.0,Initial Escalation
RSP-00015,2024-10-01,Vietnam,Renewable Energy Fast-Track,Emergency Management Agency,0.1,Low,Completed,5.5,0.0,Initial Escalation
RSP-00016,2024-10-01,Philippines,Port Security Enhancement,Ministry of Defense,0.2,Low,In Progress,6.9,0.0,Initial Escalation
RSP-00017,2024-10-01,Philippines,Renewable Energy Fast-Track,Maritime Authority,0.2,Low,Announced,3.3,0.0,Initial Escalation
RSP-00018,2024-10-01,Malaysia,Cyber Defense for Energy Grid,Maritime Authority,0.1,Medium,In Progress,7.7,0.0,Initial Escalation
RSP-00019,2024-10-01,Pakistan,Refinery Capacity Expansion,Emergency Management Agency,0.2,Low,Announced,5.1,0.0,Initial Escalation
RSP-00020,2024-10-01,Pakistan,Maritime Insurance Fund,Ministry of Trade,0.2,High,Announced,5.5,0.0,Initial Escalation
RSP-00021,2024-10-01,Bangladesh,Port Security Enhancement,Emergency Management Agency,0.2,High,In Progress,5.2,0.0,Initial Escalation
RSP-00022,2024-10-01,Taiwan,Emergency Energy Import Deal,Central Bank,0.5,Medium,Delayed,5.7,0.0,Initial Escalation
RSP-00023,2024-10-01,Taiwan,Refinery Capacity Expansion,Maritime Authority,0.3,Low,In Progress,4.2,0.0,Initial Escalation
RSP-00024,2024-10-01,Taiwan,Port Security Enhancement,National Oil Company,0.4,Critical,Announced,7.8,0.0,Initial Escalation
RSP-00025,2024-10-01,Singapore,Alternative Supplier Agreement,Ministry of Energy,0.2,Medium,In Progress,4.3,0.0,Initial Escalation
RSP-00026,2024-10-01,Singapore,SPR Release,Maritime Authority,0.3,Medium,In Progress,5.4,0.0,Initial Escalation
RSP-00027,2024-10-01,Singapore,Refinery Capacity Expansion,Maritime Authority,0.3,Low,Completed,5.0,0.0,Initial Escalation
RSP-00028,2024-10-01,New Zealand,Coal-to-Gas Switching Ban,National Oil Company,0.1,Medium,In Progress,8.3,0.0,Initial Escalation
RSP-00029,2024-10-01,Sri Lanka,Cyber Defense for Energy Grid,Ministry of Defense,0.1,High,In Progress,5.6,0.0,Initial Escalation
RSP-00030,2024-10-01,Sri Lanka,Refinery Capacity Expansion,Emergency Management Agency,0.1,Low,In Progress,5.8,0.0,Initial Escalation
RSP-00031,2024-10-01,Myanmar,Coal-to-Gas Switching Ban,Ministry of Defense,0.1,Medium,Completed,6.4,0.0,Initial Escalation
RSP-00032,2024-10-01,Cambodia,Maritime Insurance Fund,Ministry of Energy,0.1,Medium,Completed,5.9,0.0,Initial Escalation
RSP-00033,2024-10-01,Laos,Strategic Fuel Stockpile Mandate,National Oil Company,0.1,Medium,In Progress,5.5,0.0,Initial Escalation
RSP-00034,2024-10-01,Mongolia,Bilateral Defense Pact,Ministry of Defense,0.1,High,Delayed,6.0,0.0,Initial Escalation
RSP-00035,2024-11-01,China,Fuel Subsidy Increase,Ministry of Finance,2.9,Low,In Progress,4.9,0.0,Initial Escalation
RSP-00036,2024-11-01,China,Cyber Defense for Energy Grid,Ministry of Energy,2.5,Medium,In Progress,5.7,0.0,Initial Escalation
RSP-00037,2024-11-01,India,Fuel Subsidy Increase,Ministry of Trade,1.3,Medium,Completed,7.8,0.0,Initial Escalation
RSP-00038,2024-11-01,Japan,Cyber Defense for Energy Grid,Ministry of Trade,1.7,Low,Completed,7.5,0.0,Initial Escalation
RSP-00039,2024-11-01,South Korea,Emergency Energy Import Deal,Emergency Management Agency,0.4,Medium,Completed,7.1,0.0,Initial Escalation
RSP-00040,2024-11-01,Australia,Naval Escort Deployment,Emergency Management Agency,0.1,High,In Progress,6.1,0.0,Initial Escalation
RSP-00041,2024-11-01,Indonesia,Coal-to-Gas Switching Ban,Maritime Authority,0.2,High,Delayed,7.8,0.0,Initial Escalation
RSP-00042,2024-11-01,Thailand,Renewable Energy Fast-Track,Ministry of Finance,0.3,Low,Announced,7.9,0.0,Initial Escalation
RSP-00043,2024-11-01,Vietnam,Renewable Energy Fast-Track,Ministry of Defense,0.1,Low,Completed,7.3,0.0,Initial Escalation
RSP-00044,2024-11-01,Philippines,Port Security Enhancement,Emergency Management Agency,0.2,High,Announced,5.0,0.0,Initial Escalation
